clearinghouse_id,system_name,county,population,service_connections,total_population,clearinghouse_water_type
CA4810026,SID - PEABODY,SOLANO,56,17,56,Consecutive Connections
CA4300741,MIREVAL IMPROVEMENT ASSOCIATION,SANTA CLARA,60,15,60,Consecutive Connections
CA4810024,SID - BLUE RIDGE OAKS,SOLANO,63,19,63,Consecutive Connections
CA4300856,SPRING VALLEY HEIGHTS ASSOCIATION INC,SANTA CLARA,66,21,66,Consecutive Connections
CA4300760,SANTA TERESA MEADOWS WATER COMPANY,SANTA CLARA,68,23,68,"Consecutive Connections,Groundwater & GWUDI"
CA3900714,SUNNYSIDE ESTATES WATER SYSTEM,SAN JOAQUIN,69,21,69,Consecutive Connections
CA4300978,BRUSH AND OLD WELL MUTUAL WATER COMPANY,SANTA CLARA,70,27,70,Consecutive Connections
CA5000408,WESTLEY CSD,STANISLAUS,70,35,70,Consecutive Connections
CA4900644,BRIDGEHAVEN PARK,SONOMA,70,31,70,"Spring Water,Surface Water"
CA1000005,BIG CREEK COMMUNITY SERV DIST,FRESNO,72,67,72,Consecutive Connections
CA1009214,WESTSIDE HARVESTING,FRESNO,72,24,72,Surface Water
CA1600023,AZCAL MANAGEMENT CO,KINGS,73,21,73,Surface Water
CA4300526,OAKMONT WATER SYSTEM,SANTA CLARA,61,26,73,Consecutive Connections
CA1500364,KERNVALE MUTUAL WATER CO,KERN,75,32,75,Consecutive Connections
CA0410012,SOUTH FEATHER W&P - BANGOR,BUTTE,73,22,76,Surface Water
CA1009179,BRITZ/FIVE POINT SYSTEM,FRESNO,76,23,76,Surface Water
CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,SANTA CLARA,79,24,79,Consecutive Connections
CA1009222,TERRA LINDA FARMS,FRESNO,80,12,80,Surface Water
CA4900901,SOBRE VISTA WATER COMPANY,SONOMA,80,26,80,"Consecutive Connections,Groundwater & GWUDI"
CA1009232,"CC FARMS, LLC.",FRESNO,82,19,82,Surface Water
CA3100528,GOLDEN HILLS MUTUAL WATER CO,PLACER,84,32,84,Consecutive Connections
CA1009023,BRITZ/COLUSA,FRESNO,85,15,85,Surface Water
CA2910010,TRUCKEE-DONNER PUD - HIRSCHDALE,NEVADA,85,25,85,"Consecutive Connections,Groundwater & GWUDI"
CA4500023,HAT CREEK HIGHLANDS MUTUAL WATER CO,SHASTA,88,50,88,Surface Water
CA4810025,SID - PLEASANT HILLS RANCH,SOLANO,89,27,89,Surface Water
CA2800528,LINDA VISTA MUTUAL WATER CO,NAPA,90,36,90,"Consecutive Connections,Groundwater & GWUDI"
CA1500584,GOOSELAKE WATER COMPANY,KERN,90,32,90,"Consecutive Connections,Groundwater & GWUDI"
CA1500324,WONDER ACRES WATER SYSTEM,KERN,92,34,92,Consecutive Connections
CA3900543,MAURLAND MANOR WATER SYSTEM,SAN JOAQUIN,92,28,92,Consecutive Connections
CA4900514,RANCHO DEL PARADISO-CAL WATER SVC (PUC),SONOMA,96,58,96,Consecutive Connections
CA5400728,GRIER MUTUAL WATER COMPANY,TULARE,97,99,97,"Consecutive Connections,Groundwater & GWUDI"
CA1000213,HARRIS FARMS/HORSE BARN,FRESNO,98,20,98,Surface Water
CA2000557,MD 43 MIAMI CREEK KNOLLS,MADERA,100,26,100,"Consecutive Connections,Groundwater & GWUDI"
CA3110040,PLACER CWA - BIANCHI ESTATES,PLACER,102,38,102,Consecutive Connections
CA3400156,SOUTHWEST TRACT W M D [SWS],SACRAMENTO,103,33,103,Consecutive Connections
CA3600383,MWD OF SO CAL GENE PLANT,SAN BERNARDINO,103,61,103,Surface Water
CA3500556,MISSION FARM R.V. PARK,SAN BENITO,110,173,110,"Consecutive Connections,Groundwater & GWUDI"
CA4901246,DOWNTOWN GRATON MUTUAL WATER SYSTEM,SONOMA,110,24,110,"Consecutive Connections,Groundwater & GWUDI"
CA5400805,SOULTS MUTUAL WATER COMPANY,TULARE,110,36,110,Consecutive Connections
CA5010035,CITY OF MODESTO - CENTRAL TURLOCK,STANISLAUS,119,36,119,Consecutive Connections
CA5810005,NEVADA ID - SMARTSVILLE,YUBA,122,43,122,Surface Water
CA3901159,WILKINSON MANOR A-ZONE PWS,SAN JOAQUIN,125,38,125,Consecutive Connections
CA1009111,SCE/BIG CREEK POWERHOUSE #1,FRESNO,126,76,126,Surface Water
CA1900155,WILSONA GARDENS MUTUAL,LOS ANGELES,129,39,129,"Consecutive Connections,Groundwater & GWUDI"
CA5410022,CAMP NELSON WATER COMPANY,TULARE,130,300,130,"Consecutive Connections,Surface Water"
CA2000729,MADERA CO SA16 SUMNER HILL,MADERA,135,41,135,Surface Water
CA2000509,CASCADEL MUTUAL WATER SYSTEM,MADERA,137,120,137,"Consecutive Connections,Groundwater & GWUDI,Spring Water"
CA1500546,HARVEST MOON MUTUAL WATER CO,KERN,138,49,138,"Consecutive Connections,Groundwater & GWUDI"
CA2000593,OAKHURST MOBILE HOME ESTATES,MADERA,138,116,138,"Consecutive Connections,Groundwater & GWUDI"
CA1009027,HARRIS FARMS HEADQUARTERS,FRESNO,140,50,140,Surface Water
CA3700937,LAZY H MUTUAL WATER COMPANY,SAN DIEGO,142,43,142,"Consecutive Connections,Groundwater & GWUDI"
CA4300521,KENNON WATER COMPANY,SANTA CLARA,142,43,142,Consecutive Connections
CA4300520,RAINERI MUTUAL WATER COMPANY,SANTA CLARA,145,44,145,Surface Water
CA1000345,PANOCHE WATER DISTRICT,FRESNO,146,50,146,Surface Water
CA4300562,ROSEVIEW HEIGHTS MUTUAL WATER COMPANY,SANTA CLARA,148,53,148,Consecutive Connections
CA0900300,KYBURZ MUTUAL WATER COMPANY,EL DORADO,150,118,150,"Groundwater & GWUDI,Surface Water"
CA1500378,MAHER MUTUAL WATER COMPANY,KERN,150,50,150,"Consecutive Connections,Groundwater & GWUDI"
CA4300522,LAKE CANYON MUTUAL WATER COMPANY,SANTA CLARA,156,56,156,"Spring Water,Surface Water"
CA3600209,ROCKY COMFORT MUTUAL WATER CO,SAN BERNARDINO,160,33,160,Consecutive Connections
CA4500006,"SHASTA CSA - SUGARLOAF, #2",SHASTA,160,61,160,"Groundwater & GWUDI,Surface Water"
CA2000544,MADERA CO MD1-HIDDEN LAKE ESTATES,MADERA,162,49,162,Surface Water
CA4300831,MT. EDEN MUTUAL WATER COMPANY,SANTA CLARA,165,64,165,Consecutive Connections
CA5000008,KNIGHTS FERRY COMM. SVC. DIST.,STANISLAUS,168,67,168,Surface Water
CA3600010,LIBERTY UTILITIES APPLE VALLEY,SAN BERNARDINO,170,50,170,"Consecutive Connections,Groundwater & GWUDI"
CA5010034,CITY OF MODESTO - NORTH TURLOCK,STANISLAUS,172,52,172,"Consecutive Connections,Groundwater & GWUDI"
CA3600185,OAK GLEN DOMESTIC WATER,SAN BERNARDINO,175,50,175,"Consecutive Connections,Groundwater & GWUDI"
CA5010031,CITY OF MODESTO - WALNUT MANOR,STANISLAUS,175,53,175,"Consecutive Connections,Groundwater & GWUDI"
CA3110050,PLACER CWA - APPLEGATE,PLACER,180,68,180,Surface Water
CA5800924,CAMPTONVILLE COMMUNITY SERV DIST,YUBA,180,85,180,"Groundwater & GWUDI,Surface Water"
CA1009028,HARRIS FARMS SOUTH #101-144,FRESNO,182,29,182,Surface Water
CA3310076,WESTERN MWD (ID A - RAINBOW),RIVERSIDE,186,44,186,Consecutive Connections
CA5000389,MONTEREY PARK TRACT CSD,STANISLAUS,186,51,186,Consecutive Connections
CA3700934,PAUMA VALLEY WATER COMPANY,SAN DIEGO,193,77,193,"Consecutive Connections,Groundwater & GWUDI"
CA5000010,TID/ LA GRANGE WATER SYSTEM,STANISLAUS,195,59,195,Surface Water
CA1500535,MANON MANOR MUTUAL WATER COMPANY,KERN,200,55,200,"Consecutive Connections,Groundwater & GWUDI"
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,SAN DIEGO,200,90,200,"Consecutive Connections,Groundwater & GWUDI"
CA4900599,RANDAL'S RANCHETTE MUTUAL WATER COMPANY,SONOMA,200,29,200,"Consecutive Connections,Groundwater & GWUDI"
CA3100040,SHADY GLEN COMM WATER SYSTEM,PLACER,200,121,200,Surface Water
CA5400968,IMPROVEMENT DISTRICT NO. 1,TULARE,200,80,200,"Groundwater & GWUDI,Surface Water"
CA2800543,CAPELL VALLEY ESTATES,NAPA,208,63,208,"Groundwater & GWUDI,Surface Water"
CA3301114,CHERRY VALLEY WATER COMPANY,RIVERSIDE,210,75,210,"Consecutive Connections,Groundwater & GWUDI"
CA4500022,DEL ORO WATER CO. - HAT CREEK DISTRICT,SHASTA,211,63,211,Surface Water
CA4900588,LAWNDALE MUTUAL WATER COMPANY,SONOMA,218,62,218,Consecutive Connections
CA4500028,"SHASTA CSA - CRAGVIEW, #23",SHASTA,218,66,218,Surface Water
CA1009078,HARRIS FEEDING COMPANY,FRESNO,222,20,222,Surface Water
CA2810014,SPANISH FLAT WATER DISTRICT,NAPA,230,97,230,Surface Water
CA1000019,FCSA #30/EL PORVENIR,FRESNO,241,56,241,Surface Water
CA5200534,PASKENTA COMM. SERVICES DIST.,TEHAMA,237,72,244,Surface Water
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,246,88,246,"Groundwater & GWUDI,Surface Water"
CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,PLACER,250,129,250,Surface Water
CA3100038,HEATHER GLEN COMMUNITY SERVICE DIST,PLACER,250,101,250,Surface Water
CA3700919,LAKE WOHLFORD RESORT,SAN DIEGO,250,137,250,Surface Water
CA3500006,CSA NO. 31 STONEGATE WS,SAN BENITO,252,77,252,"Groundwater & GWUDI,Hauled Water,Surface Water"
CA4500015,"SHASTA CSA - CASTELLA, #3",SHASTA,252,101,252,Surface Water
CA4300545,SARATOGA HEIGHTS MUTUAL WATER COMPANY,SANTA CLARA,258,92,258,Consecutive Connections
CA2810009,BERRYESSA PINES WATER SYSTEM,NAPA,261,78,261,Surface Water
CA1000004,BELMONT WATER CORPORATION,FRESNO,264,40,264,"Consecutive Connections,Groundwater & GWUDI"
CA4500014,LAKESHORE HEIGHTS MUTUAL WATER,SHASTA,264,68,264,Surface Water
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,KERN,270,198,270,"Consecutive Connections,Groundwater & GWUDI"
CA4900584,TIMBER COVE COUNTY WATER DISTRICT,SONOMA,271,205,271,"Groundwater & GWUDI,Surface Water"
CA1900303,LLANO MUTUAL WATER COMPANY,LOS ANGELES,276,81,276,Consecutive Connections
CA4500317,"SHASTA CSA - FRENCH GULCH, #11",SHASTA,277,84,277,Surface Water
CA4300546,SIERRA ROAD IMPROVEMENT ASSOCIATION INC,SANTA CLARA,280,50,280,Consecutive Connections
CA4300909,LICK OBSERVATORY-UCSC,SANTA CLARA,284,32,284,Surface Water
CA3700859,RANCHO DEL CAMPO WATER SYSTEM,SAN DIEGO,290,110,290,"Consecutive Connections,Groundwater & GWUDI"
CA4900549,SONOMA COUNTY CSA 41-FREESTONE,SONOMA,290,26,290,"Groundwater & GWUDI,Surface Water"
CA2400209,SAN LUIS HILLS,MERCED,300,65,300,Surface Water
CA3110043,TAHOE CITY PUD - MADDEN CREEK,PLACER,300,183,300,"Consecutive Connections,Groundwater & GWUDI"
CA4300716,LUPIN LODGE,SANTA CLARA,300,30,300,"Groundwater & GWUDI,Spring Water,Surface Water"
CA4300563,MT. PLEASANT WATER USERS ASSOCIATION,SANTA CLARA,300,90,300,Consecutive Connections
CA2910016,DONNER SUMMIT PUBLIC UTILITY DISTRICT,NEVADA,310,362,310,Surface Water
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,320,102,320,"Consecutive Connections,Groundwater & GWUDI"
CA3301879,SHARONDALE MESA HOA,RIVERSIDE,323,244,323,"Consecutive Connections,Groundwater & GWUDI"
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,LOS ANGELES,326,158,326,"Consecutive Connections,Groundwater & GWUDI"
CA2900523,WASHINGTON WATER DISTRICT,NEVADA,330,115,330,Surface Water
CA3700866,DEL DIOS MUTUAL WATER COMPANY,SAN DIEGO,330,148,330,"Consecutive Connections,Groundwater & GWUDI"
CA3107339,FOLSOM LAKE MUTUAL WATER CO,PLACER,333,101,333,Consecutive Connections
CA4300516,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,SANTA CLARA,338,116,338,"Groundwater & GWUDI,Surface Water"
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,342,121,342,Consecutive Connections
CA4900721,COLONIAL PARK,SONOMA,342,194,342,"Groundwater & GWUDI,Surface Water"
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,SAN FRANCISCO,344,89,344,Consecutive Connections
CA4300517,CHEMEKETA PARK MUTUAL WATER COMPANY,SANTA CLARA,346,153,346,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3100058,DUTCH FLAT MUTUAL,PLACER,350,105,350,Surface Water
CA3701408,YUIMA MUNICIPAL WATER DISTRICT,SAN DIEGO,360,105,360,"Consecutive Connections,Groundwater & GWUDI"
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,FRESNO,375,107,375,Consecutive Connections
CA3600301,STRAWBERRY LODGE MWC,SAN BERNARDINO,381,137,381,"Consecutive Connections,Groundwater & GWUDI"
CA1000471,FCSA #39 A&B,FRESNO,395,141,395,Consecutive Connections
CA0910017,EL DORADO ID - STRAWBERRY,EL DORADO,400,149,400,Surface Water
CA4900687,BROOKWOOD MOBILE HOME PARK,SONOMA,400,202,400,"Consecutive Connections,Groundwater & GWUDI"
CA4900532,SONOMA COUNTY CSA 41-JENNER,SONOMA,406,123,406,Surface Water
CA4900647,SERENO DEL MAR WATER COMPANY (PUC),SONOMA,435,139,435,"Groundwater & GWUDI,Surface Water"
CA1000546,FCSA #49/ FIVE POINTS,FRESNO,440,46,440,Surface Water
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,LOS ANGELES,450,163,450,"Consecutive Connections,Groundwater & GWUDI"
CA4300834,CAMP SARATOGA,SANTA CLARA,450,15,450,Surface Water
CA3600196,CSA 70 W-4 PIONEERTOWN,SAN BERNARDINO,451,122,451,"Consecutive Connections,Groundwater & GWUDI"
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,459,191,459,"Consecutive Connections,Groundwater & GWUDI"
CA1000359,FCSA #32/CANTUA CREEK,FRESNO,462,79,462,Surface Water
CA3600258,SKY FOREST MWC,SAN BERNARDINO,492,159,492,"Consecutive Connections,Groundwater & GWUDI"
CA3600391,HILLCREST MOBILE ESTATES,SAN BERNARDINO,493,180,493,"Consecutive Connections,Groundwater & GWUDI"
CA1900102,WESTSIDE PARK MUTUAL WATER,LOS ANGELES,495,167,495,"Consecutive Connections,Groundwater & GWUDI"
CA2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,MADERA,498,178,498,"Consecutive Connections,Groundwater & GWUDI"
CA2800526,BERRYESSA ESTATES (LBRID),NAPA,498,186,498,Surface Water
CA3103836,HIDDEN VALLEY COMMUNITY ASSOCIATION,PLACER,499,165,499,Consecutive Connections
CA3610046,VALLEY VIEW PARK MWC,SAN BERNARDINO,499,218,499,"Consecutive Connections,Groundwater & GWUDI"
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,PLACER,499,153,499,Consecutive Connections
CA1503270,LAKE ISABELLA COMMUNITY SERVICES DIST,KERN,500,130,500,Consecutive Connections
CA2800521,CIRCLE OAKS WATER DISTRICT,NAPA,500,190,500,"Groundwater & GWUDI,Surface Water"
CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SAN DIEGO,500,222,500,"Consecutive Connections,Groundwater & GWUDI"
CA5410036,LSID-STRATHMORE SYSTEM,TULARE,500,161,500,Consecutive Connections
CA5410007,LSID - TONYVILLE,TULARE,500,50,500,"Groundwater & GWUDI,Surface Water"
CA3110036,NORTH TAHOE PUD - DOLLAR COVE,PLACER,507,277,507,Consecutive Connections
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,518,157,518,Surface Water
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,524,206,524,Consecutive Connections
CA3110023,NORTH TAHOE PUD - CARNELIAN WOODS,PLACER,524,273,524,"Consecutive Connections,Groundwater & GWUDI"
CA3600260,SMILEY PARK COUNTRY CLUB,SAN BERNARDINO,530,102,530,"Consecutive Connections,Groundwater & GWUDI"
CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,SONOMA,533,110,533,"Consecutive Connections,Groundwater & GWUDI"
CA0910018,EL DORADO ID - OUTINGDALE,EL DORADO,535,191,535,"Hauled Water,Surface Water"
CA4810010,SID - GIBSON CANYON,SOLANO,535,162,535,Surface Water
CA3301115,CHIRIACO SUMMIT WATER DIST.,RIVERSIDE,544,34,544,Consecutive Connections
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,549,202,549,Consecutive Connections
CA3510006,MISSION OAKS MOBILE HOME PARK,SAN BENITO,550,238,550,"Consecutive Connections,Groundwater & GWUDI"
CA3301031,BANNING HTS. MUTUAL WATER CO.,RIVERSIDE,552,178,552,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3301283,GLEN EDEN SUN CLUB,RIVERSIDE,566,407,566,"Consecutive Connections,Groundwater & GWUDI"
CA1900809,LANDALE MUTUAL WATER COMPANY,LOS ANGELES,571,173,571,"Consecutive Connections,Groundwater & GWUDI"
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,LOS ANGELES,579,258,579,Consecutive Connections
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,SAN FRANCISCO,600,257,600,"Groundwater & GWUDI,Surface Water"
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",LOS ANGELES,621,244,621,"Consecutive Connections,Groundwater & GWUDI"
CA5200503,MINERAL COUNTY WATER DISTRICT,TEHAMA,634,192,634,"Spring Water,Surface Water"
CA1900803,EL DORADO MUTUAL WATER CO.,LOS ANGELES,660,240,660,"Consecutive Connections,Groundwater & GWUDI"
CA2810013,BERRYESSA HIGHLANDS,NAPA,669,248,669,Surface Water
CA3710707,USN SAN CLEMENTE ISLAND,SAN DIEGO,670,267,670,Consecutive Connections
CA4900871,DE ANZA MOON VALLEY WATER COMPANY,SONOMA,691,247,691,"Consecutive Connections,Groundwater & GWUDI"
CA3110024,PLACER CWA - ALTA,PLACER,700,274,700,Surface Water
CA1510052,NORTH EDWARDS WD,KERN,716,217,716,"Consecutive Connections,Groundwater & GWUDI"
CA5410041,CWS - TULCO WATER COMPANY,TULARE,716,182,716,"Consecutive Connections,Groundwater & GWUDI"
CA3301775,HIGH VALLEYS WATER DISTRICT,RIVERSIDE,733,244,733,Consecutive Connections
CA1900523,WHITE FENCE FARMS MWC NO.3,LOS ANGELES,749,253,749,"Consecutive Connections,Groundwater & GWUDI"
CA1500452,RIVERDALE VILLAGE,KERN,750,290,750,"Consecutive Connections,Groundwater & GWUDI"
CA3700938,YUIMA MUNICIPAL WATER DISTRICT IDA,SAN DIEGO,769,210,769,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA1010051,FCWWD #18/FRIANT,FRESNO,772,251,772,Surface Water
CA1510042,MOUNTAIN MESA WC,KERN,777,376,777,"Consecutive Connections,Groundwater & GWUDI"
CA3110013,TAHOE CITY PUD - TAHOE CEDARS,PLACER,793,1181,793,"Consecutive Connections,Groundwater & GWUDI"
CA3110017,SIERRA LAKES COUNTY WATER DIST,PLACER,813,831,813,"Groundwater & GWUDI,Surface Water"
CA3610045,LACSD - RIMFOREST,SAN BERNARDINO,817,292,817,Consecutive Connections
CA3110011,TAHOE CITY PUD - MCKINNEY/QUAIL,PLACER,844,560,844,"Groundwater & GWUDI,Surface Water"
CA3600087,DEER LODGE WATER SYSTEM,SAN BERNARDINO,845,195,845,"Consecutive Connections,Groundwater & GWUDI"
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,868,263,868,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",LOS ANGELES,870,368,870,"Consecutive Connections,Groundwater & GWUDI"
CA1000484,FCSA #34/ MILLERTON NEW TOWN,FRESNO,876,393,876,"Groundwater & GWUDI,Surface Water"
CA3301943,PLANTATION ON THE LAKE PARK,RIVERSIDE,889,581,889,"Consecutive Connections,Groundwater & GWUDI"
CA3710012,RANCHO PAUMA MUTUAL WC,SAN DIEGO,899,387,899,"Consecutive Connections,Groundwater & GWUDI"
CA1510004,"CASA LOMA WATER CO, INC.",KERN,900,248,900,"Consecutive Connections,Groundwater & GWUDI"
CA3310040,FERN VALLEY WD,RIVERSIDE,900,1179,900,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,LOS ANGELES,905,434,905,"Consecutive Connections,Groundwater & GWUDI"
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,SAN BERNARDINO,927,1063,927,Consecutive Connections
CA1510027,DESERT LAKE COMM SERV DIST,KERN,968,242,968,"Consecutive Connections,Groundwater & GWUDI"
CA4910025,KENWOOD VILLAGE WATER COMPANY (PUC),SONOMA,1013,309,1013,"Consecutive Connections,Groundwater & GWUDI"
CA3301294,GLEN IVY HOT SPRINGS,RIVERSIDE,1047,49,1047,"Consecutive Connections,Groundwater & GWUDI"
CA3601048,BARTON FLATS WATER SYSTEM,SAN BERNARDINO,1070,16,1070,Surface Water
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,EL DORADO,1093,623,1093,Surface Water
CA5010023,CITY OF MODESTO - SOUTH TURLOCK,STANISLAUS,1099,333,1099,"Consecutive Connections,Groundwater & GWUDI"
CA4510004,"SHASTA CSA - JONES VALLEY, #6",SHASTA,1119,479,1119,Surface Water
CA1510039,CWS SOUTHLAKE SYSTEM,KERN,1125,817,1125,"Consecutive Connections,Groundwater & GWUDI"
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,LOS ANGELES,1129,342,1129,Consecutive Connections
CA1610009,KETTLEMAN CITY CSD,KINGS,1136,352,1136,"Groundwater & GWUDI,Hauled Water,Surface Water"
CA3610701,USMC NEBO (BARSTOW),SAN BERNARDINO,1150,419,1150,Consecutive Connections
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",SONOMA,1160,1935,1160,"Groundwater & GWUDI,Surface Water"
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,TULARE,1205,383,1205,"Groundwater & GWUDI,Surface Water"
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,SAN BERNARDINO,1239,335,1239,"Consecutive Connections,Groundwater & GWUDI"
CA4910010,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,SONOMA,1265,339,1265,Consecutive Connections
CA1910249,WHITE FENCE FARMS MWC NO. 1,LOS ANGELES,1362,457,1362,"Consecutive Connections,Groundwater & GWUDI"
CA0910015,TAHOE KEYS WATER COMPANY,EL DORADO,1420,1566,1420,"Consecutive Connections,Groundwater & GWUDI"
CA4910701,U.S. COAST GUARD TRAINING CENTER,SONOMA,1422,217,1422,Consecutive Connections
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,LOS ANGELES,1430,675,1430,"Consecutive Connections,Groundwater & GWUDI"
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,LOS ANGELES,1437,503,1437,Consecutive Connections
CA3110041,MIDWAY HEIGHTS C. W. D.,PLACER,1469,446,1469,Consecutive Connections
